~~~~  sas 2017-10-16  ~~~~
Generated on 2018-08-02 13:21:44
Time elapsed: 115.19 s
-1: velocity var 36363.59      width var 7099.50
241: velocity var 240.63      width var 131.32
    velocity mean 20.47      width mean 27.04
242: velocity var 12462.43      width var 688.26
    velocity mean 32.55      width mean 13.67
243: velocity var 8.92      width var 254.78
    velocity mean 8.93      width mean 12.70
244: velocity var 13.76      width var 67.23
    velocity mean 6.02      width mean 7.59
245: velocity var 17.39      width var 438.22
    velocity mean 6.51      width mean 17.14
247: velocity var 21.31      width var 378.28
    velocity mean 5.75      width mean 21.02
250: velocity var 111.51      width var 738.28
    velocity mean 13.23      width mean 28.81
252: velocity var 2738.16      width var 1197.17
    velocity mean 60.39      width mean 97.92
253: velocity var 12.63      width var 61.90
    velocity mean 5.22      width mean 7.55
255: velocity var 209.83      width var 392.51
    velocity mean 11.23      width mean 29.75
256: velocity var 10991.04      width var 122.54
    velocity mean 34.08      width mean 19.58
257: velocity var 8.41      width var 62.89
    velocity mean 7.53      width mean 7.62
258: velocity var 1260.10      width var 197.68
    velocity mean 33.08      width mean 16.06
259: velocity var 18.24      width var 406.92
    velocity mean 6.81      width mean 16.31
260: velocity var 3256.24      width var 2064.25
    velocity mean 57.08      width mean 32.85
261: velocity var 916.28      width var 1413.94
    velocity mean 115.39      width mean 57.22
263: velocity var 8517.94      width var 71.50
    velocity mean 15.02      width mean 8.03
264: velocity var 97.56      width var 53.84
    velocity mean 24.18      width mean 9.62
267: velocity var 26.38      width var 82.26
    velocity mean 12.54      width mean 12.74
268: velocity var 40.60      width var 155.87
    velocity mean 8.89      width mean 20.48
269: velocity var 114608.39      width var 6377.94
    velocity mean 297.24      width mean 103.36
271: velocity var 161.05      width var 197.83
    velocity mean 17.26      width mean 20.89
272: velocity var 279.62      width var 137.01
    velocity mean 23.74      width mean 14.66
273: velocity var 41.15      width var 702.95
    velocity mean 11.14      width mean 19.76
275: velocity var 3.66      width var 6.92
    velocity mean 5.04      width mean 10.52
278: velocity var 115.87      width var 249.45
    velocity mean 14.33      width mean 17.36
279: velocity var 1404.19      width var 493.31
    velocity mean 30.82      width mean 34.75
280: velocity var 162.71      width var 445.96
    velocity mean 84.13      width mean 26.35
282: velocity var 405.31      width var 21158.27
    velocity mean 13.32      width mean 114.48
284: velocity var 94.34      width var 265.86
    velocity mean 68.24      width mean 19.19
285: velocity var 205.77      width var 252.15
    velocity mean 40.18      width mean 16.87
286: velocity var 134.24      width var 150.05
    velocity mean 49.87      width mean 19.38
289: velocity var 249.94      width var 471.91
    velocity mean 23.49      width mean 20.08
290: velocity var 248.23      width var 429.10
    velocity mean 42.28      width mean 24.88
291: velocity var 180.27      width var 104.85
    velocity mean 18.55      width mean 15.25
294: velocity var 13.81      width var 702.19
    velocity mean 10.30      width mean 18.24
297: velocity var 995.21      width var 920179.48
    velocity mean 25.37      width mean 438.84
301: velocity var 188.42      width var 40.59
    velocity mean 30.10      width mean 9.64
302: velocity var 5.19      width var 8.42
    velocity mean 20.42      width mean 5.72
303: velocity var 50.20      width var 206.42
    velocity mean 9.59      width mean 8.74
304: velocity var 68.17      width var 41.79
    velocity mean 4.82      width mean 4.26
305: velocity var 98.40      width var 167.02
    velocity mean 46.05      width mean 10.34
306: velocity var 45.33      width var 321.68
    velocity mean 18.58      width mean 17.24
307: velocity var 62.93      width var 1323.31
    velocity mean 24.36      width mean 23.33
308: velocity var 41.13      width var 57.32
    velocity mean 22.92      width mean 13.16
309: velocity var 147233.82      width var 79.30
    velocity mean 144.91      width mean 14.80
310: velocity var 90.46      width var 341.51
    velocity mean 16.60      width mean 16.72
311: velocity var 169.32      width var 3769.60
    velocity mean 19.26      width mean 54.70
312: velocity var 47.48      width var 100.27
    velocity mean 26.84      width mean 12.42
314: velocity var 454.41      width var 818.65
    velocity mean 34.74      width mean 24.52
316: velocity var 40.56      width var 520.75
    velocity mean 6.09      width mean 30.64
317: velocity var 34.20      width var 31.44
    velocity mean 19.37      width mean 21.30
319: velocity var 6.78      width var 111.35
    velocity mean 3.70      width mean 14.92
320: velocity var 438.92      width var 1863.38
    velocity mean 32.17      width mean 38.29
321: velocity var 92.52      width var 1337.83
    velocity mean 19.83      width mean 32.35
322: velocity var 356.25      width var 335.31
    velocity mean 18.76      width mean 33.59
324: velocity var 349.33      width var 332.54
    velocity mean 29.92      width mean 21.76
325: velocity var 142.73      width var 2994.57
